name	type	units	sampling_frequency	tracked_point	component	placement	datafile
PhaseSpace_Rigid1_eul_z	ORNT	radians	250.001011993394	Head	z	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_eul_y	ORNT	radians	250.001011993394	Head	y	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_eul_x	ORNT	radians	250.001011993394	Head	x	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_X	POS	meters	250.001011993394	Head	X	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_Y	POS	meters	250.001011993394	Head	Y	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_Z	POS	meters	250.001011993394	Head	Z	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_z	ORNT	radians	250.001011993394	LeftThigh	z	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_y	ORNT	radians	250.001011993394	LeftThigh	y	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_x	ORNT	radians	250.001011993394	LeftThigh	x	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_X	POS	meters	250.001011993394	LeftThigh	X	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_Y	POS	meters	250.001011993394	LeftThigh	Y	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_Z	POS	meters	250.001011993394	LeftThigh	Z	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_z	ORNT	radians	250.001011993394	LeftLowerLeg	z	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_y	ORNT	radians	250.001011993394	LeftLowerLeg	y	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_x	ORNT	radians	250.001011993394	LeftLowerLeg	x	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_X	POS	meters	250.001011993394	LeftLowerLeg	X	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_Y	POS	meters	250.001011993394	LeftLowerLeg	Y	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_Z	POS	meters	250.001011993394	LeftLowerLeg	Z	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_eul_z	ORNT	radians	250.001011993394	LeftAnkle	z	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_eul_y	ORNT	radians	250.001011993394	LeftAnkle	y	left ankle	...acq-PhS_motion.tsv
