name	type	units	sampling_frequency
PhaseSpace_Rigid1_Rigid1_X	PositionX	meters	250.001170471833
PhaseSpace_Rigid1_Rigid1_Y	PositionY	meters	250.001170471833
PhaseSpace_Rigid1_Rigid1_Z	PositionZ	meters	250.001170471833
PhaseSpace_Rigid1_Rigid1_A	OrientationA	quaternion	250.001170471833
PhaseSpace_Rigid1_Rigid1_B	OrientationB	quaternion	250.001170471833
PhaseSpace_Rigid1_Rigid1_C	OrientationC	quaternion	250.001170471833
PhaseSpace_Rigid1_Rigid1_D	OrientationD	quaternion	250.001170471833
PhaseSpace_Rigid1_Rigid1_Conf	Confidence	n/a	250.001170471833
PhaseSpace_Rigid2_Rigid2_X	PositionX	meters	250.001170471833
PhaseSpace_Rigid2_Rigid2_Y	PositionY	meters	250.001170471833
PhaseSpace_Rigid2_Rigid2_Z	PositionZ	meters	250.001170471833
PhaseSpace_Rigid2_Rigid2_A	OrientationA	quaternion	250.001170471833
PhaseSpace_Rigid2_Rigid2_B	OrientationB	quaternion	250.001170471833
PhaseSpace_Rigid2_Rigid2_C	OrientationC	quaternion	250.001170471833
PhaseSpace_Rigid2_Rigid2_D	OrientationD	quaternion	250.001170471833
PhaseSpace_Rigid2_Rigid2_Conf	Confidence	n/a	250.001170471833
PhaseSpace_Rigid8_Rigid8_X	PositionX	meters	250.001170471833
PhaseSpace_Rigid8_Rigid8_Y	PositionY	meters	250.001170471833
PhaseSpace_Rigid8_Rigid8_Z	PositionZ	meters	250.001170471833
PhaseSpace_Rigid8_Rigid8_A	OrientationA	quaternion	250.001170471833
PhaseSpace_Rigid8_Rigid8_B	OrientationB	quaternion	250.001170471833
PhaseSpace_Rigid8_Rigid8_C	OrientationC	quaternion	250.001170471833
PhaseSpace_Rigid8_Rigid8_D	OrientationD	quaternion	250.001170471833
PhaseSpace_Rigid8_Rigid8_Conf	Confidence	n/a	250.001170471833
BrainVision RDA_Fp1	EEG	microvolts	250.001170471833
BrainVision RDA_Fp2	EEG	microvolts	250.001170471833
BrainVision RDA_F7	EEG	microvolts	250.001170471833
BrainVision RDA_F3	EEG	microvolts	250.001170471833
BrainVision RDA_Fz	EEG	microvolts	250.001170471833
BrainVision RDA_F4	EEG	microvolts	250.001170471833
BrainVision RDA_F8	EEG	microvolts	250.001170471833
BrainVision RDA_FC5	EEG	microvolts	250.001170471833
BrainVision RDA_FC1	EEG	microvolts	250.001170471833
BrainVision RDA_FC2	EEG	microvolts	250.001170471833
BrainVision RDA_FC6	EEG	microvolts	250.001170471833
BrainVision RDA_T7	EEG	microvolts	250.001170471833
BrainVision RDA_C3	EEG	microvolts	250.001170471833
BrainVision RDA_Cz	EEG	microvolts	250.001170471833
BrainVision RDA_C4	EEG	microvolts	250.001170471833
BrainVision RDA_T8	EEG	microvolts	250.001170471833
BrainVision RDA_TP9	EEG	microvolts	250.001170471833
BrainVision RDA_CP5	EEG	microvolts	250.001170471833
BrainVision RDA_CP1	EEG	microvolts	250.001170471833
BrainVision RDA_CP2	EEG	microvolts	250.001170471833
BrainVision RDA_CP6	EEG	microvolts	250.001170471833
BrainVision RDA_TP10	EEG	microvolts	250.001170471833
BrainVision RDA_P7	EEG	microvolts	250.001170471833
BrainVision RDA_P3	EEG	microvolts	250.001170471833
BrainVision RDA_Pz	EEG	microvolts	250.001170471833
BrainVision RDA_P4	EEG	microvolts	250.001170471833
BrainVision RDA_P8	EEG	microvolts	250.001170471833
BrainVision RDA_PO9	EEG	microvolts	250.001170471833
BrainVision RDA_O1	EEG	microvolts	250.001170471833
BrainVision RDA_Oz	EEG	microvolts	250.001170471833
BrainVision RDA_O2	EEG	microvolts	250.001170471833
BrainVision RDA_PO10	EEG	microvolts	250.001170471833
BrainVision RDA_AF7	EEG	microvolts	250.001170471833
