onset	duration	sample	type	value
16.2319240039606	0	4059	Markers	WiimoteButtonB pressed
16.5079227117658	0	4128	Markers	WiimoteButtonB released
18.5439131794878	0	4637	Markers	WiimoteButtonB pressed
18.7519122056598	0	4689	Markers	WiimoteButtonB released
28.9118646379072	0	7229	Markers	WiimoteButtonB pressed
29.1078637202616	0	7278	Markers	WiimoteButtonB released
49.7277671801967	0	12433	Markers	WiimoteButtonB pressed
49.81176678692	0	12454	Markers	WiimoteButtonB released
65.9156913901594	0	16480	Markers	BASE-START
191.127105164427	0	47783	Markers	BASE-END
222.466958434765	0	55618	Markers	START-walk , Sub-No.-66
222.486958341128	0	55623	Markers	Trial Start: No.0-angle:40-left-left-kongruent-blue-FA:no
224.05095101869	0	56014	Markers	Stim-NOTshown
224.57094858412	0	56144	Markers	Stim-NOTshown
225.094946130823	0	56275	Markers	Stim-40-L-walk-263-blue--1-kongruent
225.510944183167	0	56379	Markers	WiimoteButtonB pressed
225.510944183167	0	56379	Markers	BUT-LEFT-ButtonB-Press
225.742943096974	0	56437	Markers	WiimoteButtonB released
226.642938883295	0	56662	Markers	Reaction: 0.418-left-blue-correct
226.646938864568	0	56663	Markers	End-Trial-4.158
226.678938714748	0	56671	Markers	Trial Start: No.1-angle:40-right-right-kongruent-blue-FA:no
228.142931860497	0	57037	Markers	Stim-40-R-walk-182-blue--1-kongruent
228.482930268663	0	57122	Markers	BUT-RIGHT-ButtonB-Press
228.482930268663	0	57122	Markers	WiimoteButtonB pressed
228.65092948211	0	57164	Markers	WiimoteButtonB released
229.69092461297	0	57424	Markers	Reaction: 0.343-right-blue-correct
229.694924594242	0	57425	Markers	End-Trial-3.013
229.726924444422	0	57433	Markers	Trial Start: No.2-angle:30-right-right-kongruent-yellow-FA:no
231.290917121985	0	57824	Markers	Stim-30-R-walk-073-yellow--1-kongruent
231.698915211784	0	57926	Markers	WiimoteButtonB pressed
231.698915211784	0	57926	Markers	BUT-RIGHT-ButtonB-Press
231.814914668687	0	57955	Markers	WiimoteButtonB released
231.974913919589	0	57995	Markers	WiimoteButtonB pressed
231.978913900861	0	57996	Markers	BUT-RIGHT-ButtonB-Press
232.150913095581	0	58039	Markers	WiimoteButtonB released
232.84290985573	0	58212	Markers	Reaction: 0.408-right-yellow-correct
232.84290985573	0	58212	Markers	End-Trial-3.116
232.878909687183	0	58221	Markers	Trial Start: No.3-angle:60-left-left-kongruent-blue-FA:no
234.190903544575	0	58549	Markers	Stim-60-L-walk-033-blue--1-kongruent
234.534901934014	0	58635	Markers	WiimoteButtonB pressed
234.538901915286	0	58636	Markers	BUT-LEFT-ButtonB-Press
234.690901203643	0	58674	Markers	WiimoteButtonB released
235.74289627832	0	58937	Markers	Reaction: 0.347-left-blue-correct
235.74289627832	0	58937	Markers	End-Trial-2.864
235.778896109773	0	58946	Markers	Trial Start: No.4-angle:60-left-left-kongruent-blue-FA:no
237.366888674971	0	59343	Markers	Stim-NOTshown
237.886886240401	0	59473	Markers	Stim-NOTshown
238.410883787103	0	59604	Markers	Stim-NOTshown
238.926881371261	0	59733	Markers	Stim-NOTshown
239.446878936691	0	59863	Markers	Stim-NOTshown
239.970876483393	0	59994	Markers	Stim-60-L-walk-018-blue-1-kongruent
240.298874947741	0	60076	Markers	WiimoteButtonB pressed
240.302874929014	0	60077	Markers	BUT-LEFT-ButtonB-Press
240.47087414246	0	60119	Markers	WiimoteButtonB released
241.522869217138	0	60382	Markers	Reaction: 0.331-left-blue-correct
